name,about,incentives,disciplines,academia,skills,strategy,child_paths,display_name
aerospace engineering and operations technicians,"aerospace engineering and operations technicians operate and maintain equipment used in developing, testing, producing, and sustaining new aircraft and spacecraft",JOB,"architecture, engineering",associates degree,"communication, critical-thinking, detail oriented, interpersonal, math, mechanical, certifications",build and maintain test facilities for aircraft systems. make and install parts and systems to be tested in test equipment. operate and calibrate computer systems so that they comply with test and manufacturing requirements. record data from test parts and assemblies,,""
aerospace engineers,"aerospace engineers design primarily aircraft, spacecraft, satellites and missiles. In addition, they create and test prototypes to make sure that they function according to design",JOB,"architecture, engineering",bachelors degree,"analytical, business, critical-thinking, math, problem-solving, writing","direct and coordinate the design, manufacture, and testing of aircraft and aerospace products. Assess proposals for projects to determine if they are technically and financially feasible. Determine if proposed projects will result in safe operations that meet the defined goals",,""
agricultural engineers,"agricultural engineers attempt to solve agricultural problems concerning power supplies, the efficiency of machinery, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products",JOB,"architecture, engineering",bachelors degree,"analytical, communication, math, problem-solving,","use computer software to design equipment, systems, or structures. Modify environmental factors that affect animal or crop production. Test equipment to ensure is safety and reliability.",,""
architects,"architects plan and design houses, factories, office buildings, and other structures",JOB,"architecture, engineering","bachelors degree, internship, residency","analytical, communication, creativity, organizational, technical, visualization",meet with clients to determine objectives and requirements for structures. Give preliminary estimates on cost and construction time. Prepare structure specifications,,""
biomedical engineers,"biomedical engineers combine engineering principles with medical and  biological sciences to design and create equipment, devices, computer systems, and software used in healthcare",JOB,"architecture, engineering",bachelors degree,"analytical, communication, creativity, math, problem-solving","design biomedical equipment and devices. Install adjust, maintain, repair or provide technical support for biomedical equipment. Evaluate the safety, efficiency, and effectiveness of biomedical equipment",,""
"cartographers, photogrammetrists","cartographers and photogrammetrists collect, measure, and interpret geographic information in order to create and update maps and charts for regional planning, education, and other purposes",JOB,"architecture, engineering",bachelors degree,"computer, critical-thinking, decision-making, detail oriented, problem-solving","collect geographic data. Create visual representations of data. Examine and compile data from ground surveys, reports, aerial photographs, and satellite images",,""
chemical engineers,"chemical engineers apply the principles of chemistry, biology, physics, and math to solve problems that involve the production or use of chemicals, fuel, drugs, food, and many other products",JOB,"architecture, engineering",bachelors degree,"analytical, creativity, ingenuity, interpersonal, math, problem-solving",conduct research to develop new and improved manufacturing processes. Establish safety procedures for those working with dangerous chemicals. Develop  processes for separating components of liquids and gases.,,""
civil engineering technicians,"civil engineering technicians help civil engineers to plan, design, and build highways, bridges, utilities, and other infrastructure projects",JOB,"architecture, engineering",associates degree,"Critical-thinking, decision-making, math, observational, problem-solving, reading, writing",read and review project drawings and plans to determine the size of structures. Confer with engineers about preparing plans. Use computer aided design software under the charge of engineers,,""
civil engineers,"civil engineers conceive, design, build, supervise, operate, construct and maintain infrastructure projects and systems in the public and private sector, including roads, buildings, airports, tunnels, dams, bridges and systems for water supply and sewage treatment",JOB,"architecture, engineering",bachelors degree,"Decision-making, leadership, math, organizational, problem-solving, speaking, writing","analyze long range plans survey reports, maps, and other data to plan and design projects. Consider construction costs, government regulations. Potential environmental hazards and other factors during the planning and risk-analysis stages of a project.",,""
computer hardware engineers,"computer hardware engineers research, design, develop and test computer systems and components such as processors, circuit boards, memory devices, networks and routers",JOB,"architecture, engineering",bachelors degree,"analytical, critical-thinking, problem-solving, communication","design new computer hardware, creating schematics of computer equipment to be built. Test the computer hardware they design. Analyze the test results and modify the design as needed",,""
drafters,drafters use software to convert the designs of architects and engineers into technical drawings.,JOB,"architecture, engineering",associates degree,"creativity, detail oriented, interpersonal, math, technical",design plans using computer aided design software. Work from rough sketches and specifications created by engineers and architects. Design products with engineering and manufacturing techniques,,""
electrical and eletronics engineering technicians,"electrical and electronics engineering technicians help electrical and electronics engineers design and develop computers, communications equipment, medical monitoring devices, navigational equipment and other electrical and electronic equipment",JOB,"architecture, engineering",associates degree,"Logical-thinking, math, mechanical, observational, writing","put together electrical and electronic systems and prototypes. Build, calibrate, and repair electrical instruments or testing equipment. Visit construction sites to observe conditions affecting design.",,""
electrical land electronics engineers,"electrical engineers design, develop test and supervise manufacturing of electrical equipment",JOB,"architecture, engineering",bachelors degree,"concentration, initiative, interpersonal, math, speaking, writing","design new ways to use electrical power to develop or improve products. Perform detailed calculations to develop manufacturing, construction and installation standards and specifications. Design electronic components, software, products, or systems for commercial, industrial, medical, military or scientific applications",,""
Electro-mechanical technicians,Electro-mechanical technicians combine knowledge of mechanical technology with knowledge of electrical and electronic circuits,JOB,"architecture, engineering",associates degree,"detail oriented, dexterity, interpersonal, logical-thinking, math, mechanical, writing","read blueprints, schematics, and diagrams to determine the method and sequence of assembly of  part, machine, or piece of equipment. Inspect parts for surface defects. Operate, test or maintain robotic equipment",,""
environmental engineering technicians,environmental engineering technicians carry out the plans that environmental engineers develop,JOB,"architecture, engineering",associates degree,"communication, critical-thinking, observational, problem-solving, reading","set up, test, operate, and modify equipment used to prevent or clean up environmental pollution. Maintain project records and computer program files. Conduct pollution surveys, for which they collect and analyze samples such as samples of air and ground quality",,""
environmental engineers,"environmental engineers use the principles of engineering, soil science, biology, and chemistry to develop solutions to environmental problems",JOB,"architecture, engineering",bachelors degree,"imagination, interpersonal, problem-solving, reading, writing","prepare, review, and u[date environmental investigation. Design projects that lead to environmental protection, such was water reclamation facilities or air pollution control systems.",,""
health and safety engineers,health and safety engineers develop procedures and design systems to protect people from illness and injury and property from damage.,JOB,"architecture, engineering",bachelors degree,"communication, creativity, critical-thinking, observational, problem-solving","maintain and apply knowledge of current health and safety policies, regulations, and industrial processes. Review plans and specifications for new machinery and equipment to make sure that they meet safety requirements",,""
industrial engineering technicians,"industrial engineering technicians assist industrial engineers in devising efficient systems that integrate workers, machines, materials, information, and energy to make a product or provide aservice",JOB,"architecture, engineering",bachelors degree,"analytical, communication, critical-thinking, detail oriented, math, observational","suggest revisions to methods of operation, material handling, or equipment layout. Interpret engineering drawings, schematic diagrams and formulas. Confer with management or engineering staff to determine quality and reliability standards",,""
industrial engineers,"figure out how to manufacture parts or products, or deliver services with maximum efficiency. Develop management control systems to make financial planning and cost analysis more efficient",JOB,"architecture, engineering",bachelors degree,"creativity, critical-thinking, listening, math, problem-solving, speaking, writing",industrial engineers find ways to eliminate wastefulness in production processes,,""
