"created_at","updated_at","name","display_name"
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"5/less related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"5/more/years related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"5/years/more related",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"5/years/more related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"advanced education",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"apprenticeship",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"associates degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"aviation maintenance technician school",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"bachelors degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"certification",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"certifications",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"college degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"commerical drivers license",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"credentials",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"doctoral degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"formal training",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"high school diploma",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"internship",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"internships",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"less-than-5-years related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"less-than-5-years-related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"less/5/years",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"license",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"long-term-on-the-job training",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"master degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"masters degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"null",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"on-the-job training",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"ph.d.",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"postsecondary",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"postsecondary certificate",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"postsecondary classes",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"postsecondary education nondegree award",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"postsecondary nondegree award",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"professional degree",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"related experience",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"residency",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"several years experience related occupation",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"some college",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"state competency exam",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"state-approved education program",""
'2022-11-05 23:45:57.667','2022-11-05 23:45:57.667',"work experience",""
'2022-11-05 23:53:06.043','2022-11-05 23:53:06.043',"ph",""
'2022-11-05 23:53:06.043','2022-11-05 23:53:06.043',"d",""
