created_at,updated_at,name,display_name
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',consider information security when designing networks,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',demonstrate the use of safety equipment and emergency equipment,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',design and create training manuals online learning modules and course materials,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',install and maintain wiring and control and lighting systems,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',maintain network and computer system security,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',measure the dimensions of the area needing treatment,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',mix ingredients for salads,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',monitor animals and record details of their diet and physical condition and behavior,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',test and calibrate parts and equipment,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',3d printing,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',a day with nothing to do,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',accept checks and cash and other forms of payment from customers,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',accept payments and balance receipts,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',accept payments for the shipment,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',accept payments from customers and give change and receipts,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',account for and solve problems caused by nonresponse or other sampling issues,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',acrobatics,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',acting,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',action figure,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',activate valves to change the amount of water and air and fuel in boilers,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adapt general lessons to meet the needs of students,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adapt lessons to any changes in class size,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adapt teaching methods based on students strengths and weaknesses,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',add chemicals and such as ammonia or chlorine to disinfect water or other liquids,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adjust and maintain imaging equipment,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adjust components according to specifications,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adjust controls to regulate the flow of power,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',adjust machine settings for temperature and cycle times and speed and feed rates,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer anesthesia to animals and monitor their responses,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer anesthetics to keep patients from feeling pain during procedures,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer basic first aid if needed,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer basic patient care including changing bandages and inserting catheters,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer government plans or policies affecting land use,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',administer patients medicines and treatments,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',advise and represent clients in courts and before government agencies and in private legal matters,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',advise businesses and governments and individuals on economic topics,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',advise clients about nail and skin care for hands and feet,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',advise clients on prices and mortgages and market conditions and related information,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',advise management n contracts and worker grievances and disciplinary procedures,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',air sports,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',aircraft spotting,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',airsoft,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',align training with the organizations strategic goals,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',align and secure and and adjust cutting tools and workpieces,
'2022-11-06 00:14:53.340','2022-11-06 00:14:53.340',amateur astronomy,
