"created_at","action_name","path_name"
'2022-11-06 00:14:53.340',"Conduct research and analysis of legal problems","lawyers"
'2022-11-06 00:14:53.340',"Interpret laws and rulings and regulations for individuals and businesses","lawyers"
'2022-11-06 00:14:53.340',"Present facts in writing and verbally to their clients or others","lawyers"
'2022-11-06 00:14:53.340',"argue on behalf of their clients","lawyers"
'2022-11-06 00:14:53.340',"Prepare and file legal documents such as lawsuits  appeals wills contracts and deeds","lawyers"
'2022-11-06 00:16:49.031',"build and maintain test facilities for aircraft systems","aerospace engineering and operations technicians"
'2022-11-06 00:16:49.031',"make and install parts and systems to be tested in test equipment","aerospace engineering and operations technicians"
'2022-11-06 00:16:49.031',"operate and calibrate computer systems so that they comply with test and manufacturing requirements","aerospace engineering and operations technicians"
'2022-11-06 00:16:49.031',"record data from test parts and assemblies","aerospace engineering and operations technicians"
'2022-11-06 00:16:49.031',"direct and coordinate the design manufacture and testing of aircraft and aerospace products","aerospace engineers"
'2022-11-06 00:16:49.031',"assess proposals for projects to determine if they are technically and financially feasible","aerospace engineers"
'2022-11-06 00:16:49.031',"determine if proposed projects will result in safe operations that meet the defined goals","aerospace engineers"
'2022-11-06 00:16:49.031',"use computer software to design equipment systems or structures","agricultural engineers"
'2022-11-06 00:16:49.031',"modify environmental factors that affect animal or crop production","agricultural engineers"
'2022-11-06 00:16:49.031',"test equipment to ensure is safety and reliability","agricultural engineers"
'2022-11-06 00:16:49.031',"meet with clients to determine objectives and requirements for structures","architects"
'2022-11-06 00:16:49.031',"give preliminary estimates on cost and construction time","architects"
'2022-11-06 00:16:49.031',"prepare structure specifications","architects"
'2022-11-06 00:16:49.031',"design biomedical equipment and devices","biomedical engineers"
'2022-11-06 00:16:49.031',"install adjust maintain repair or provide technical support for biomedical equipment","biomedical engineers"
'2022-11-06 00:16:49.031',"evaluate the safety efficiency and effectiveness of biomedical equipment","biomedical engineers"
'2022-11-06 00:16:49.031',"collect geographic data","cartographers photogrammetrists"
'2022-11-06 00:16:49.031',"create visual representations of data","cartographers photogrammetrists"
'2022-11-06 00:16:49.031',"examine and compile data from ground surveys reports aerial photographs and satellite images","cartographers photogrammetrists"
'2022-11-06 00:16:49.031',"conduct research to develop new and improved manufacturing processes","chemical engineers"
'2022-11-06 00:16:49.031',"establish safety procedures for those working with dangerous chemicals","chemical engineers"
'2022-11-06 00:16:49.031',"develop processes for separating components of liquids and gases","chemical engineers"
'2022-11-06 00:16:49.031',"read and review project drawings and plans to determine the size of structures","civil engineering technicians"
'2022-11-06 00:16:49.031',"confer with engineers about preparing plans","civil engineering technicians"
'2022-11-06 00:16:49.031',"use computer aided design software under the charge of engineers","civil engineering technicians"
'2022-11-06 00:16:49.031',"analyze long range plans survey reports maps and other data to plan and design projects","civil engineers"
'2022-11-06 00:16:49.031',"consider construction costs government regulations","civil engineers"
'2022-11-06 00:16:49.031',"potential environmental hazards and other factors during the planning and risk analysis stages of a project","civil engineers"
'2022-11-06 00:16:49.031',"design new computer hardware creating schematics of computer equipment to be built","computer hardware engineers"
'2022-11-06 00:16:49.031',"test the computer hardware they design","computer hardware engineers"
'2022-11-06 00:16:49.031',"analyze the test results and modify the design as needed","computer hardware engineers"
'2022-11-06 00:16:49.031',"design plans using computer aided design software","drafters"
'2022-11-06 00:16:49.031',"work from rough sketches and specifications created by engineers and architects","drafters"
'2022-11-06 00:16:49.031',"design products with engineering and manufacturing techniques","drafters"
'2022-11-06 00:16:49.031',"put together electrical and electronic systems and prototypes","electrical and eletronics engineering technicians"
'2022-11-06 00:16:49.031',"build calibrate and repair electrical instruments or testing equipment","electrical and eletronics engineering technicians"
'2022-11-06 00:16:49.031',"visit construction sites to observe conditions affecting design","electrical and eletronics engineering technicians"
'2022-11-06 00:16:49.031',"design new ways to use electrical power to develop or improve products","electrical land electronics engineers"
'2022-11-06 00:16:49.031',"perform detailed calculations to develop manufacturing construction and installation standards and specifications","electrical land electronics engineers"
'2022-11-06 00:16:49.031',"design electronic components and software products or systems for commercial industrial medical military or scientific applications","electrical land electronics engineers"
'2022-11-06 00:16:49.031',"read blueprints and schematics and diagrams to determine the method and sequence of assembly of part machine or piece of equipment","electro mechanical technicians"
'2022-11-06 00:16:49.031',"inspect parts for surface defects","electro mechanical technicians"
'2022-11-06 00:16:49.031',"operate test or maintain robotic equipment","electro mechanical technicians"
'2022-11-06 00:16:49.031',"set up test operate and modify equipment used to prevent or clean up environmental pollution","environmental engineering technicians"
'2022-11-06 00:16:49.031',"maintain project records and computer program files","environmental engineering technicians"
'2022-11-06 00:16:49.031',"conduct pollution surveys for which they collect and analyze samples such as samples of air and ground quality","environmental engineering technicians"
'2022-11-06 00:16:49.031',"prepare review and u[date environmental investigation","environmental engineers"
'2022-11-06 00:16:49.031',"design projects that lead to environmental protection such was water reclamation facilities or air pollution control systems","environmental engineers"
'2022-11-06 00:16:49.031',"maintain and apply knowledge of current health and safety policies regulations and industrial processes","health and safety engineers"
'2022-11-06 00:16:49.031',"review plans and specifications for new machinery and equipment to make sure that they meet safety requirements","health and safety engineers"
'2022-11-06 00:16:49.031',"suggest revisions to methods of operation material handling or equipment layout","industrial engineering technicians"
'2022-11-06 00:16:49.031',"interpret engineering drawings and schematic diagrams and formulas","industrial engineering technicians"
'2022-11-06 00:16:49.031',"confer with management or engineering staff to determine quality and reliability standards","industrial engineering technicians"
'2022-11-06 00:16:49.031',"industrial engineers find ways to eliminate wastefulness in production processes","industrial engineers"
