"created_at","discipline_name","path_name"
'1985-12-12 23:00:35.508',"architecture","aerospace engineering and operations technicians"
'1985-12-12 23:00:35.508',"architecture","aerospace engineers"
'1985-12-12 23:00:35.508',"architecture","agricultural engineers"
'1985-12-12 23:00:35.508',"architecture","architects"
'1985-12-12 23:00:35.508',"architecture","biomedical engineers"
'1985-12-12 23:00:35.508',"architecture","cartographers and photogrammetrists"
'1985-12-12 23:00:35.508',"architecture","chemical engineers"
'1985-12-12 23:00:35.508',"architecture","civil engineering technicians"
'1985-12-12 23:00:35.508',"architecture","civil engineers"
'1985-12-12 23:00:35.508',"architecture","computer hardware engineers"
'1985-12-12 23:00:35.508',"architecture","drafters"
'1985-12-12 23:00:35.508',"architecture","electrical and eletronics engineering technicians"
'1985-12-12 23:00:35.508',"architecture","electrical land electronics engineers"
'1985-12-12 23:00:35.508',"architecture","electro mechanical technicians"
'1985-12-12 23:00:35.508',"architecture","environmental engineering technicians"
'1985-12-12 23:00:35.508',"architecture","environmental engineers"
'1985-12-12 23:00:35.508',"architecture","health and safety engineers"
'1985-12-12 23:00:35.508',"architecture","industrial engineering technicians"
'1985-12-12 23:00:35.508',"architecture","industrial engineers"
'1985-12-12 23:00:35.508',"architecture","landscape architects"
'1985-12-12 23:00:35.508',"architecture","marine engineers and naval architects"
'1985-12-12 23:00:35.508',"architecture","materials engineers"
'1985-12-12 23:00:35.508',"architecture","mechanical engineering technicians"
'1985-12-12 23:00:35.508',"architecture","mechanical engineers"
'1985-12-12 23:00:35.508',"architecture","mining and geological engineers"
'1985-12-12 23:00:35.508',"architecture","nuclear engineers"
'1985-12-12 23:00:35.508',"architecture","petroleum engineers"
'1985-12-12 23:00:35.508',"architecture","surveying and mapping technicians"
'1985-12-12 23:00:35.508',"architecture","surveyors"
'1985-12-12 23:00:35.508',"arts","art directors"
'1985-12-12 23:00:35.508',"arts","craft and fine artists"
'1985-12-12 23:00:35.508',"arts","fashion designers"
'1985-12-12 23:00:35.508',"arts","floral designers"
'1985-12-12 23:00:35.508',"arts","graphic designers"
'1985-12-12 23:00:35.508',"arts","industrial designers"
'1985-12-12 23:00:35.508',"arts","interior designers"
'1985-12-12 23:00:35.508',"arts","multimedia artists and animators"
'1985-12-12 23:00:35.508',"building and grounds cleaning","grounds maintenance workers"
'1985-12-12 23:00:35.508',"building and grounds cleaning","janitors and building cleaners"
'1985-12-12 23:00:35.508',"building and grounds cleaning","pest control workers"
'1985-12-12 23:00:35.508',"business and financial","accountants and auditors"
'1985-12-12 23:00:35.508',"business and financial","appraisers and assessors of real estate"
'1985-12-12 23:00:35.508',"business and financial","budget analysts"
'1985-12-12 23:00:35.508',"business and financial","claims adjusters and appraisers examiners and investigators"
'1985-12-12 23:00:35.508',"business and financial","compensation and benefits and job analysis specialists"
'1985-12-12 23:00:35.508',"business and financial","cost estimators"
'1985-12-12 23:00:35.508',"business and financial","financial analysts"
'1985-12-12 23:00:35.508',"business and financial","financial examiners"
'1985-12-12 23:00:35.508',"business and financial","fundraisers"
'1985-12-12 23:00:35.508',"business and financial","human resources specialists"
'1985-12-12 23:00:35.508',"business and financial","insurance underwriters"
'1985-12-12 23:00:35.508',"business and financial","labor relations specialists"
