created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"financial analysts","portfolio managers"
'2022-11-05 21:28:04.421',"financial analysts","fund managers"
'2022-11-05 21:28:04.421',"financial analysts","ratings analysts"
'2022-11-05 21:28:04.421',"financial analysts","risk analysts"
'2022-11-05 21:28:04.421',"fundraisers","annual campaign fundraisers"
'2022-11-05 21:28:04.421',"fundraisers","capital campaign fundraisers"
'2022-11-05 21:28:04.421',"fundraisers","major gifts fundraisers"
'2022-11-05 21:28:04.421',"fundraisers","planned giving fundraisers"
'2022-11-05 21:28:04.421',"loan officers","consumer loan officers"
'2022-11-05 21:28:04.421',"loan officers","mortgage loan officers"
'2022-11-05 21:28:04.421',"loan officers","loan collection officers"
'2022-11-05 21:28:04.421',"loan officers","loan underwriters"
'2022-11-05 21:28:04.421',"meeting, convention and event planner","meeting planners"
'2022-11-05 21:28:04.421',"meeting, convention and event planner","convention planners"
'2022-11-05 21:28:04.421',"meeting, convention and event planner","event planners"
'2022-11-05 21:28:04.421',"personal financial advisors","private bankers"
'2022-11-05 21:28:04.421',"personal financial advisors","wealth managers"
'2022-11-05 21:28:04.421',"purchasing managers, buyers, and purchasing agents","purchasing agents and buyers of farm products"
'2022-11-05 21:28:04.421',"purchasing managers, buyers, and purchasing agents","purchasing agents except wholesale or retail or farm products"
'2022-11-05 21:28:04.421',"purchasing managers, buyers, and purchasing agents","wholesale and retail buyers"
'2022-11-05 21:28:04.421',"tax examiners and collectors and revenue agents","tax examiners"
'2022-11-05 21:28:04.421',"tax examiners and collectors and revenue agents","revenue agents"
'2022-11-05 21:28:04.421',"tax examiners and collectors and revenue agents","collectors"
'2022-11-05 21:28:04.421',"probation officers and correctional treatment specialists","probation officers"
'2022-11-05 21:28:04.421',"probation officers and correctional treatment specialists","parole officers"
'2022-11-05 21:28:04.421',"probation officers and correctional treatment specialists","pretrial services officers"
'2022-11-05 21:28:04.421',"probation officers and correctional treatment specialists","correctional treatment specialists"
'2022-11-05 21:28:04.421',"school and career counselors","elementary school counselors"
'2022-11-05 21:28:04.421',"school and career counselors","middle school counselors"
'2022-11-05 21:28:04.421',"school and career counselors","high school counselors"
'2022-11-05 21:28:04.421',"school and career counselors","career counselors"
'2022-11-05 21:28:04.421',"social workers","bachelors social workers"
'2022-11-05 21:28:04.421',"social workers","clinicl social workers"
'2022-11-05 21:28:04.421',"social workers","licensed clinical social workers"
'2022-11-05 21:28:04.421',"social workers","masters social workers"
'2022-11-05 21:28:04.421',"social workers","child and family social workers"
'2022-11-05 21:28:04.421',"social workers","school social workers"
'2022-11-05 21:28:04.421',"social workers","healthcare social workers"
'2022-11-05 21:28:04.421',"social workers","mental health and substance abuse social workers"
'2022-11-05 21:28:04.421',"substance abuse, behavioral disorder and mental health counselors","substance abuse counselors"
'2022-11-05 21:28:04.421',"substance abuse, behavioral disorder and mental health counselors","behavioral disorder counselors"
'2022-11-05 21:28:04.421',"substance abuse, behavioral disorder and mental health counselors","mental health counselors"
'2022-11-05 21:28:04.421',"computer systems analysts","software quality assurance analysts"
'2022-11-05 21:28:04.421',"computer systems analysts","programmer analysts"
'2022-11-05 21:28:04.421',"database administrators","system dbas"
'2022-11-05 21:28:04.421',"database administrators","application dbas"
'2022-11-05 21:28:04.421',"software developers","applications software developers"
'2022-11-05 21:28:04.421',"software developers","systems software developers"
'2022-11-05 21:28:04.421',"web developers","backend web developers"
'2022-11-05 21:28:04.421',"web developers","frontend web developers"
'2022-11-05 21:28:04.421',"carpenters","construction carpenters"
'2022-11-05 21:28:04.421',"carpenters","rough carpenters"
'2022-11-05 21:28:04.421',"construction and building inspectors","building inspectors"
'2022-11-05 21:28:04.421',"construction and building inspectors","coating inspectors"
'2022-11-05 21:28:04.421',"construction and building inspectors","electrical inspectors"
'2022-11-05 21:28:04.421',"construction and building inspectors","elevator inspectors"
'2022-11-05 21:28:04.421',"construction and building inspectors","home inspectors"
