"created_at","updated_at","name","display_name","about"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"aerospace engineering and operations technicians","","aerospace engineering and operations technicians operate and maintain equipment used in developing, testing, producing, and sustaining new aircraft and spacecraft"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"aerospace engineers","","aerospace engineers design primarily aircraft, spacecraft, satellites and missiles. in addition, they create and test prototypes to make sure that they function according to design"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"agricultural engineers","","agricultural engineers attempt to solve agricultural problems concerning power supplies, the efficiency of machinery, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"architects","","architects plan and design houses, factories, office buildings, and other structures"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"biomedical engineers","","biomedical engineers combine engineering principles with medical and biological sciences to design and create equipment, devices, computer systems, and software used in healthcare"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"cartographers, photogrammetrists","","cartographers and photogrammetrists collect, measure, and interpret geographic information in order to create and update maps and charts for regional planning, education, and other purposes"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"chemical engineers","","chemical engineers apply the principles of chemistry, biology, physics, and math to solve problems that involve the production or use of chemicals, fuel, drugs, food, and many other products"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"civil engineering technicians","","civil engineering technicians help civil engineers to plan, design, and build highways, bridges, utilities, and other infrastructure projects"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"civil engineers","","civil engineers conceive, design, build, supervise, operate, construct and maintain infrastructure projects and systems in the public and private sector, including roads, buildings, airports, tunnels, dams, bridges and systems for water supply and sewage treatment"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"computer hardware engineers","","computer hardware engineers research, design, develop and test computer systems and components such as processors, circuit boards, memory devices, networks and routers"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"drafters","","drafters use software to convert the designs of architects and engineers into technical drawings."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"electrical and eletronics engineering technicians","","electrical and electronics engineering technicians help electrical and electronics engineers design and develop computers, communications equipment, medical monitoring devices, navigational equipment and other electrical and electronic equipment"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"electrical land electronics engineers","","electrical engineers design, develop test and supervise manufacturing of electrical equipment"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"childcare center workers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"choke setters","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"cinematographers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"city managers","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"enlisted personnel","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"freight movers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"electro mechanical technicians","","electro mechanical technicians combine knowledge of mechanical technology with knowledge of electrical and electronic circuits"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"environmental engineering technicians","","environmental engineering technicians carry out the plans that environmental engineers develop"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"environmental engineers","","environmental engineers use the principles of engineering, soil science, biology, and chemistry to develop solutions to environmental problems"
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"medical secretaries","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"medical translators","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"meeting planners","",""
'2022-11-04 10:36:20.022','2022-11-04 10:36:20.022',"mental health and substance abuse social workers","",""
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"health and safety engineers","","health and safety engineers develop procedures and design systems to protect people from illness and injury and property from damage."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"industrial engineering technicians","","industrial engineering technicians assist industrial engineers in devising efficient systems that integrate workers, machines, materials, information, and energy to make a product or provide aservice"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"industrial engineers","","figure out how to manufacture parts or products, or deliver services with maximum efficiency. develop management control systems to make financial planning and cost analysis more efficient"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"landscape architects","","meet with clients, engineers and building architects to understand the requirements of a project. prepare site plans, specifications, and cost estimates. coordinate the arrangement of existing and proposed land features and structures"
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"marine engineers and naval architects","","prepare system layouts and detailed drawings and schematics. inspect marine equipment and machinery, and draw up work requests and job specifications. conduct environmental, operational, or performance tests on marine machinery and equipment."
'2022-11-04 10:36:19.983','2022-11-04 10:36:19.983',"materials engineers","","materials engineers develop, process, and test materials used to create a range of products, from computer chips and aircraft wings to golf clubs and biomedical devices"
