created_at,updated_at,name,display_name
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',ability to multitask,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',ability to use technology,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',active citizenship,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',adaptability,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',adapting to change,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',adventurousness,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',aeronatuics,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',air hockey,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',alertness,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',algebraic analysis,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',alternative diagnoses,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',alternative medical diagnostic methods,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analogy,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analysis of collective decision making,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analysis,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analytical chemistry,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analytical,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',analyzing,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',anlysands of psychonalysts,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',apologetics,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',applied learning,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',aptitude,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',architecture,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',argumentative,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',arguments,
'2022-11-05 22:58:37.720','2022-11-05 22:58:37.720',art criticism,
